#Data of CPU Clock Frequency
#Sr No	CPU Speed
836	1800125
837	1800250
838	1800250
839	1800125
840	2166000
841	1885375
842	1885625
843	1886625
844	1900375
845	1870875
846	1836875
847	1835375
848	1872750
849	1830000
850	1829875
851	1887250
852	1899875
853	1870750
854	1900250
855	2200250
856	1874125
857	1857750
858	1879500
859	1883875
860	1877875
861	1853625
862	1885625
863	1841625
864	1821250
865	1729000
866	1878375
867	1897500
868	1862875
869	1893250
870	1893500
871	1833500
872	1800125
873	1767250
874	1711625
875	1800125
876	1800250
877	1786375
878	1800250
879	1800250
880	1800125
881	1737750
882	1741125
883	1739375
884	1788750
885	1787000
886	1794000
887	1770750
888	1768625
889	1800125
890	1800125
891	1800125
892	1800125
893	1786500
894	1800250
895	1800250
896	1800125
897	1800125
898	1811875
899	1800125
900	1800125
901	1800250
902	1800250
903	1800250
904	1800000
905	1800000
906	1800125
907	1812250
908	1800250
909	1800250
910	1800125
911	1817500
912	1800250
913	1800250
914	1800125
915	1754000
916	1800250
917	1727750
918	1800375
919	1800125
920	1800000
921	1800250
922	1800125
923	1800125
924	1800125
925	1800125
926	1800125
927	1771375
928	1786250
929	1800000
930	1798750
931	1800250
932	1800250
933	1789125
934	1800250
935	2200000
936	1800125
937	1800125
938	1800125
939	1802625
940	1800125
941	1800125
942	1794500
943	1800125
944	1788375
945	1800000
946	1700125
947	1766250
948	1791375
949	1736000
950	1800125
951	1782250
952	1799250
953	1800125
954	1800000
955	1799875
956	1797750
957	1800125
958	1800000
959	2190750
960	1800125
961	1823875
962	1800250
963	1800125
964	1852500
965	1824750
966	1800375
967	1799875
968	1827375
969	1800000
970	1738000
971	1800250
972	1800125
973	1799875
974	1857250
975	1872125
976	1800000
977	1784750
978	1800250
979	1800000
980	1770250
981	1800250
982	1800125
983	1800375
984	1842250
985	1871375
986	1800250
987	1900250
988	1800250
989	1900000
990	1838250
991	1846000
992	1853625
993	1885125
994	1884750
995	1855375
996	1800000
997	1892875
998	1849125
999	1890125
1000	1836000
1001	1897375
1002	1896875
1003	1887500
1004	1886125
1005	1894250
1006	1826625
1007	1868625
1008	1942750
1009	1959625
1010	1969750
1011	1985875
1012	1900000
1013	1950000
1014	1919875
1015	1966250
1016	1970125
1017	1968000
1018	1959875
1019	1983375
1020	1967500
1021	1921125
1022	1912500
1023	1972750
1024	1949125
1025	1944000
1026	1989625
1027	1984500
1028	1982875
1029	1987250
1030	1976875
1031	1969250
1032	1953125
1033	1939500
1034	1920250
1035	1937875
1036	2100125
1037	2103375
1038	2100125
1039	2100000
1040	2100250
1041	2100000
1042	2100000
1043	2100125
1044	2123375
1045	2136125
1046	2100000
1047	2100125
1048	2171625
1049	2130000
1050	2100125
1051	2128750
1052	2119625
1053	2117750
1054	2129375
1055	2100000
1056	2100125
1057	2100250
1058	2100125
1059	2136125
1060	2108875
1061	2100250
1062	2115125
1063	2100000
1064	2100125
1065	2100375
1066	2100000
1067	2099875
1068	2100250
1069	2099875
1070	2100250
1071	2100000
1072	2100000
1073	2115625
1074	2100250
1075	2152500
1076	2199875
1077	2215375
1078	2199875
1079	2200250
1080	2199750
1081	2233500
1082	2237750
1083	2237500
1084	2247750
1085	2240750
1086	2225500
1087	2127875
1088	2200250
1089	2200000
1090	2237625
1091	2200000
1092	2255500
1093	2200125
1094	2200000
1095	2268625
1096	2219250
1097	2200250
1098	2200125
1099	2200250
1100	2200500
1101	2200250
1102	2199875
1103	2207750
1104	2198875
1105	2200000
1106	2200000
1107	2200125
1108	2230750
1109	2200000
1110	2200375
1111	2205375
1112	2207750
1113	2278250
1114	2200250
1115	2200000
